a280,Reverse,First Fit,34194,3026,1182,0.448
a280,Reverse,Best Fit,34194,2935,297,9.652
a280,Reverse,Worst Fit,34194,3010,29699,1352.312
a280,Reverse,First Fit,33283,2954,1119,0.444
a280,Reverse,Best Fit,33283,2877,317,10.392
a280,Reverse,Worst Fit,33283,3142,28786,1301.865
a280,Reverse,First Fit,32937,2991,1133,0.403
a280,Reverse,Best Fit,32937,2910,304,9.466
a280,Reverse,Worst Fit,32937,3067,28535,3332.328
a280,Reverse,First Fit,33707,2967,1071,0.433
a280,Reverse,Best Fit,33707,2846,313,9.703
a280,Reverse,Worst Fit,33707,3074,29206,1262.176
a280,Reverse,First Fit,34133,3020,1139,0.413
a280,Reverse,Best Fit,34133,2897,307,9.554
a280,Reverse,Worst Fit,34133,3048,29694,1302.457
a280,Reverse,First Fit,34996,2984,1132,0.418
a280,Reverse,Best Fit,34996,2863,307,10.59
a280,Reverse,Worst Fit,34996,2961,30470,1382.837
a280,Reverse,First Fit,35945,3015,1149,0.444
a280,Reverse,Best Fit,35945,2910,310,9.875
a280,Reverse,Worst Fit,35945,3018,31486,1439.764
a280,Reverse,First Fit,33006,3003,1123,0.450
a280,Reverse,Best Fit,33006,2930,299,9.242
a280,Reverse,Worst Fit,33006,3071,28578,1232.742
a280,Reverse,First Fit,33734,2969,1122,0.467
a280,Reverse,Best Fit,33734,2876,293,10.44
a280,Reverse,Worst Fit,33734,3160,29197,1306.839
a280,Reverse,First Fit,32993,3031,1156,0.450
a280,Reverse,Best Fit,32993,2826,320,10.887
a280,Reverse,Worst Fit,32993,3014,28599,1250.2
a280,Reverse,First Fit,33464,2964,1131,0.423
a280,Reverse,Best Fit,33464,2917,301,9.396
a280,Reverse,Worst Fit,33464,3015,29009,1274.749
a280,Reverse,First Fit,33325,2990,1117,0.421
a280,Reverse,Best Fit,33325,2825,310,10.209
a280,Reverse,Worst Fit,33325,2948,28911,1313.278
a280,Reverse,First Fit,34044,2954,1125,0.434
a280,Reverse,Best Fit,34044,2885,305,10.209
a280,Reverse,Worst Fit,34044,2968,29549,1319.974
a280,Reverse,First Fit,33680,2991,1078,0.429
a280,Reverse,Best Fit,33680,2890,302,9.960
a280,Reverse,Worst Fit,33680,3066,29237,1329.188
a280,Reverse,First Fit,34126,2867,1104,0.363
a280,Reverse,Best Fit,34126,2898,316,9.589
a280,Reverse,Worst Fit,34126,3114,29584,1265.634
a280,Reverse,First Fit,32898,2959,1045,0.351
a280,Reverse,Best Fit,32898,2709,322,9.819
a280,Reverse,Worst Fit,32898,2948,28544,1203.816
a280,Reverse,First Fit,34462,2940,1140,0.361
